#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
0,2.615757059104551e-05,1.047110942919982e-05,0.00032338193226721934,0.9999999952914979,-8.153841672136676e-05,-3.0622845633902284e-05,4.278705657792416e-05
1,3.785930971028639e-05,1.1270982315569888e-05,0.0004808360924997146,0.9999999953817159,-6.534640899707755e-05,-2.8230007913887315e-05,6.457152444644234e-05
2,4.109038455385461e-05,6.88022238204411e-06,0.0006379773030060765,0.9999999973312197,-1.990903593926553e-05,-2.2052684047608987e-05,6.674481167555528e-05
3,4.024261983875954e-05,-7.19585700470482e-08,0.0007954627724762187,0.9999999968095776,4.1484604895798806e-05,-3.8316013778001205e-05,5.649562273615197e-05
4,2.7100391156109627e-05,-7.08263647700158e-06,0.0009534829292217051,0.9999999912909594,9.858544486791066e-05,-7.1373855776487e-05,5.103688935696175e-05
5,4.466453565776796e-06,-8.684150911042465e-06,0.0011074801063211126,0.9999999886244546,0.00011308766314772771,-8.190097703144121e-05,5.7048235487761025e-05
6,-2.2631740353773466e-05,-3.382669521073689e-06,0.0012601974627099999,0.9999999923131394,6.951066864312979e-05,-8.165070098122045e-05,6.225071219679634e-05
7,-4.691269289175404e-05,5.480030771776168e-06,0.001408481674582518,0.9999999934405176,-3.0954011487939523e-06,-9.736691392379842e-05,6.024174138657485e-05
8,-7.434318706522891e-05,1.3255643412174445e-05,0.0015600315334451942,0.9999999898068915,-5.83555720386782e-05,-0.0001202937340314604,5.010251154041771e-05
9,-0.0001045519174627807,1.5337294937856072e-05,0.0017029002431654394,0.999999988526716,-7.406744223591394e-05,-0.00012706549233184417,3.626213401557063e-05
10,-0.00013567063068781193,1.34026910641738e-05,0.0018430135947316018,0.9999999896276911,-5.5320370063029854e-05,-0.00013004853801482568,2.7778629031254274e-05
11,-0.0001569649597860101,6.535894322312608e-06,0.0019748710700659977,0.9999999892283735,-1.0169994922595867e-05,-0.0001457273509693277,1.4260548897224994e-05
12,-0.00017130526265546342,-1.8340285986573335e-06,0.002102449231536685,0.9999999850841378,4.877623223391048e-05,-0.00016566707827489317,-2.6499967829704457e-06
13,-0.00018692647879958724,-6.662231601700652e-06,0.0022257724775824883,0.9999999809121389,9.16721222697859e-05,-0.00017253635399685642,1.7748951635986332e-06
14,-0.00019597425670847546,-4.164624449770615e-06,0.0023432338375573014,0.9999999829102619,7.988120221108855e-05,-0.00016442252134997942,2.7635194819631092e-05
15,-0.00020252743594323386,3.097371838733931e-06,0.002455177570426681,0.9999999830008259,1.711250361762705e-05,-0.00017589058685495035,5.261189460530205e-05
16,-0.00020275738803737786,9.35614089034309e-06,0.002560797546655502,0.9999999793963579,-4.511502216761569e-05,-0.0001844806408999755,7.168550700381763e-05
17,-0.00020422479443898967,1.3437305284608181e-05,0.0026625361746717147,0.999999974161373,-8.047797482471369e-05,-0.00018868645523741791,9.796923189756102e-05
18,-0.0001955893829039268,1.1200227441859889e-05,0.0027836225486410626,0.9999999718588717,-8.190088645542711e-05,-0.00018954470085037718,0.00011682168867329527
19,-0.00018688078982886935,5.3331456841276825e-06,0.002878438827824459,0.999999971795398,-3.63925838494563e-05,-0.00020194159893941954,0.00011960089267501357
20,-0.0001787740231973256,-3.846920181793667e-06,0.002971459709040003,0.9999999736704346,3.471769861803317e-05,-0.0001998717718338856,0.00010726176521347661
21,-0.00016784035763778293,-1.0736728161458986e-05,0.0030601304606749924,0.9999999707828716,9.573793151538286e-05,-0.00019364570111534608,0.000108488925204696
22,-0.00015410393701936753,-1.2158875713097483e-05,0.0031442435453890027,0.9999999704913027,0.00010085157273063515,-0.00018354313413622073,0.00012311893349979593
23,-0.00013442004848135403,-6.390794675847911e-06,0.003220491808724857,0.9999999783747713,4.549071055581009e-05,-0.00016604477874555576,0.0001166626920850741
24,-0.00012388591105039204,1.0413575671497366e-06,0.0032939676048777677,0.9999999810008603,-2.2206867010075977e-05,-0.00015670704628724516,0.00011378943596999686
25,-0.00012657553550943224,6.940679489308987e-06,0.003365056700279201,0.9999999784331965,-6.879319800208856e-05,-0.00015643748746645988,0.00011801870511256417
26,-0.00013837628088159137,9.420228550383047e-06,0.0034337053882418367,0.99999997913542,-7.901037486358346e-05,-0.00014411608528997114,0.00012131394884226792
27,-0.00015486734980496575,7.296333501716212e-06,0.0035008199222645864,0.9999999817193528,-5.722169246577713e-05,-0.00013439003540113834,0.000123394855546333
28,-0.0001676085505044611,-2.23189720718886e-06,0.0036202496208792567,0.9999999839973622,-4.228664585784014e-06,-0.00013363044956922045,0.00011887092380617832
29,-0.00020110892578067974,-8.791432633881158e-06,0.0036996035042999864,0.9999999808047614,5.9974747221387045e-05,-0.00015189876228505997,0.00010826020749829681
30,-0.00023969469892581863,-9.219034311086505e-06,0.003775716139169827,0.9999999758451984,8.512991308454113e-05,-0.00016442205051269007,0.00011843939305131127
31,-0.0002795951867655688,-1.6565525118306113e-06,0.0038472833063385448,0.9999999759889142,4.86528027072828e-05,-0.00016747773801585312,0.00013268866879972185
32,-0.000309108094227295,9.370564594046726e-06,0.0039120579354992024,0.9999999729291285,-2.5881759958221036e-05,-0.00018642923516302753,0.00013680649480998658
33,-0.00033640558675374077,2.0645916494949068e-05,0.003970604022175417,0.9999999622919219,-9.197684735679514e-05,-0.00021758745925190502,0.00014004325061191958
34,-0.0003532623823866432,2.8395618110577114e-05,0.004022814152992327,0.9999999507528138,-0.00012624838929732346,-0.00024773048224112506,0.00014555178601648901
35,-0.00035241146973896686,3.118433404480925e-05,0.004065410481739473,0.9999999467889877,-0.0001223342589269798,-0.0002611186223366824,0.00015255627099656298
36,-0.00034836272771604504,2.8705332547868112e-05,0.004105156238177532,0.9999999459967688,-8.049487764979895e-05,-0.000283477749689578,0.00014549020429109114
37,-0.00033355547486896286,2.2132991040230143e-05,0.0041396090138783315,0.9999999466527989,-5.960325366611709e-06,-0.0003006520095860812,0.0001275431031931744
38,-0.0003144552225703978,1.3192860370381254e-05,0.004254566969328799,0.9999999378963418,5.241509218894488e-05,-0.0003212706989622021,0.00013507445579614722
39,-0.0002823695121429992,1.389217274405663e-05,0.0042908546494755395,0.9999999306332888,7.027663962844269e-05,-0.00032970495741105934,0.0001583958723339829
40,-0.0002446348326328174,1.9807481398348425e-05,0.004318400562994373,0.9999999319324145,2.5758109202366997e-05,-0.0003256737264877333,0.00017148851309804376
41,-0.00020817140884815677,2.7993548953886283e-05,0.00434177457602436,0.9999999269196895,-4.297150735512378e-05,-0.00033409714968473265,0.0001808124989471121
42,-0.00017736140795859834,3.455020259229835e-05,0.004360402494811844,0.9999999165055176,-8.87758008504876e-05,-0.0003453409605146738,0.0001996182258756425
43,-0.00014840034536911517,3.6887228482024303e-05,0.00437327065248283,0.9999999106920919,-9.397544997760251e-05,-0.000347169589441916,0.0002219407557057202
44,-0.00012064776444220549,3.323376666414246e-05,0.0043825065067499835,0.9999999111811647,-5.6223585744493856e-05,-0.000345505596820341,0.0002347391185057086
45,-0.00010136584779091296,2.4389672026337017e-05,0.0043914294112912255,0.9999999071477037,1.76779088648345e-05,-0.0003600522060163492,0.00023612387517664822
46,-8.712104126656905e-05,1.5322706054282653e-05,0.0043975261419610945,0.9999999000790791,9.034019282845543e-05,-0.0003700528508339428,0.0002339687347056578
47,-8.583529921768474e-05,1.1145505627946362e-05,0.0044018225648536635,0.9999998913899188,0.00011786332844529451,-0.0003811901980898302,0.00024087843230297237
48,-7.156540492048169e-05,1.603086559101574e-05,0.004514042649790717,0.999999893617472,8.469967413045188e-05,-0.00037911231219059653,0.0002487264859154272
49,-7.734029709594026e-05,2.4386260672748516e-05,0.004535151575653096,0.9999998975586211,7.600178292887826e-06,-0.00038333556934209794,0.00024058018620750645
50,-8.499310021603534e-05,3.233491105594788e-05,0.004550251695591756,0.9999998912880734,-6.60708173989773e-05,-0.0003992831660611785,0.00023158463202940235
51,-9.387370009544815e-05,3.683499576495608e-05,0.0045615534822534,0.9999998846397902,-9.944625747178853e-05,-0.00040787891152231854,0.00023337875227297846
52,-9.230394553405574e-05,3.653846917198167e-05,0.0045666023279915535,0.9999998872824369,-8.666505749767345e-05,-0.0004046597898818773,0.00023275466836963834
53,-8.78493467540431e-05,3.0906434364791346e-05,0.0045677991337669255,0.9999998922575117,-2.791005077311125e-05,-0.00040571450325893826,0.00022383417055669386
54,-7.673922057926941e-05,2.179704107024838e-05,0.00456383968042795,0.999999892662986,5.0231199316133206e-05,-0.0004096206361580322,0.00021062235790830582
55,-5.933483990872013e-05,1.5497303589129263e-05,0.004553307425640529,0.9999998833915632,0.00010726122231901141,-0.0004241084425956611,0.00020455786272616068
56,-3.883403411886199e-05,1.727493935257951e-05,0.004539052941715305,0.9999998784543226,0.00011101851210204896,-0.0004271310768611479,0.0002198301008211494
57,-4.805763865023405e-06,2.4875259091949875e-05,0.004514657257854937,0.9999998839910162,5.5454112760676916e-05,-0.00041908299446626675,0.00023089443301384612
58,5.7317614057639243e-05,3.92556513680864e-05,0.004620110111053455,0.9999998875176029,-2.2320341421934663e-05,-0.00040751926560105505,0.00024164981299032199
59,0.00011180730998039401,4.781524722738406e-05,0.004608020590329387,0.9999998825791855,-7.467429232711829e-05,-0.000408144977160434,0.0002503658181362661
60,0.00016128403964632554,5.297456921068977e-05,0.0045933124330757025,0.9999998859666683,-8.56971436233006e-05,-0.00039582706486091397,0.00025306833941168903
61,0.00020923930249128198,5.207561270323402e-05,0.0045739705047636026,0.9999998909798872,-4.5250935795122716e-05,-0.00038511951172189035,0.0002601452062432379
62,0.0002531302121007162,4.670879365228919e-05,0.004555097357819449,0.9999998906321594,3.221073327967539e-05,-0.00038657073534956963,0.0002612684528214698
63,0.00029575952353133594,4.234177248571558e-05,0.004532135325322928,0.9999998810206403,0.00010292866692839954,-0.0003963233366658795,0.0002651267760473216
64,0.00032981676643006885,4.612920917490548e-05,0.004507988686271114,0.9999998721856914,0.00011635345057651942,-0.0003992841355901787,0.0002875111380654799
65,0.00036570883626962924,5.899381699298045e-05,0.004476030932528241,0.9999998756098618,5.628934595501879e-05,-0.0003856678406639227,0.00031124281049514104
66,0.0004041051623324132,7.535185293092161e-05,0.004438638566614417,0.9999998770687563,-3.2479305754464816e-05,-0.0003730121521248759,0.0003250684565726217
67,0.0004453718462928413,8.82808221797926e-05,0.004397269638332757,0.9999998778539209,-9.358778202623111e-05,-0.0003662589559174851,0.00031841458445989714
68,0.000513543721427645,9.355525051382707e-05,0.0045091756803847804,0.9999998839803921,-0.0001123857597863769,-0.0003571388109483326,0.00030308499307317877
69,0.0005504516321618302,9.350444069206043e-05,0.004494332802496892,0.9999998916754756,-7.27036896825371e-05,-0.00035964798813031574,0.00028638529141783285
70,0.0005924404869550037,9.0908279484464e-05,0.004469243312287929,0.999999887883257,-8.509972104262209e-06,-0.0003881526316035777,0.00027110623039955655
71,0.0006546026760588242,9.192840478233766e-05,0.004428773348094772,0.9999998886287077,3.279112088250192e-05,-0.00039529990807656105,0.00025574459381913625
72,0.000741320366640319,0.0001004649894038312,0.004373497103671964,0.9999999024258516,4.679131485801685e-06,-0.0003766498731282472,0.00023078402482586095
73,0.0008642910249977986,0.00011262806568770878,0.004301126001243105,0.9999999162205663,-7.061110506506742e-05,-0.0003544771184955952,0.00019214292788539164
74,0.001038400289253949,0.00012053090955810308,0.004206437875789559,0.9999999220278544,-0.00012202929081730399,-0.00034200521458281245,0.00015519526581059658
75,0.0012340169176099924,0.00012151803442397857,0.004101080773924348,0.9999999326458853,-0.00011037861172741892,-0.0003177241360374186,0.00014688825833081615
76,0.0014280975928244177,0.00011835332232429385,0.003990965378597222,0.9999999463406165,-4.699778961310463e-05,-0.00024698230527425496,0.00021002312451397803
77,0.0015982104816455456,0.00011584267838918305,0.0038838807856607094,0.9999999161329661,2.586234708682954e-05,-0.000195503907935088,0.00035894765877336434
78,0.0017592206012226885,0.00010806441792202137,0.003961032737567427,0.9999998520542654,7.719438096274417e-05,-0.000133856809303091,0.0005215504091829121
79,0.001891765057647432,0.00010401516209065931,0.0038933902417419564,0.9999997757353862,0.0001292702310869878,-8.539107499839452e-05,0.000651557172313434
80,0.002000327241358124,0.00010252641594898915,0.0038286540259027113,0.999999712430385,0.0001532876588450303,-7.856445756446672e-05,0.0007385591831389611
81,0.0020851959936397657,0.00010684337282187983,0.0037676180203634058,0.9999996890865765,0.00010873518797963381,-4.955362985340892e-05,0.0007794535567407058
82,0.0021429184452493866,0.00011454019325701781,0.0037126294193960963,0.9999997181400216,-2.9418604601536805e-06,-8.887491792921983e-06,0.0007507544441085517
83,0.002177342539747773,0.00011730733884765532,0.0036630481233401735,0.9999997850287505,-8.920114683984039e-05,7.839752939600175e-06,0.0006495568846761113
84,0.002173371058111273,0.00010961865221070788,0.0036239664863908505,0.9999998593585724,-9.215607147337125e-05,-3.516415121138463e-06,0.0005222812734835586
85,0.0021306523849879966,9.649018663010489e-05,0.0035940509811500654,0.9999999078692215,-3.063357253970118e-05,7.116415033877098e-06,0.000428103363015368
86,0.0020532315585188865,8.493172668283533e-05,0.003572666796377577,0.9999999328492901,2.523301941366181e-05,4.8283805608924404e-05,0.00036239948140552515
87,0.0019442581203382714,7.603036002143404e-05,0.0035565482850825614,0.9999999466775854,5.8139652043487346e-05,2.7963966411998427e-05,0.0003201290737991983
88,0.0018630218458465242,6.775619226823126e-05,0.0037226886895935785,0.9999999492910027,7.087794224989166e-05,1.8837345323592166e-05,0.00030990234557394113
89,0.001751393709516158,6.91590895360028e-05,0.003737610765766952,0.9999999304873014,6.246981938965433e-05,1.267018794042665e-06,0.0003675885047238568
90,0.0016352964880839704,7.810046313608265e-05,0.003751211513760566,0.9999998874373737,5.703135446170894e-06,-1.6374273074782255e-05,0.0004741567224392335
91,0.0015261436353326552,8.680967157387309e-05,0.003760449932954657,0.9999998446594077,-6.427370803178515e-05,-5.806560051438385e-05,0.0005506164153427136
92,0.0014463814708345346,8.857436819414977e-05,0.003757661449901084,0.9999998188316828,-8.494439590885612e-05,-0.00013683116005828395,0.0005799985213809131
93,0.0014117476702540932,8.714985042074241e-05,0.0037398811681146338,0.9999997907412813,-6.981445338873197e-05,-0.00020582925048031573,0.0006093255741595437
94,0.0014250691325185527,8.482637613996258e-05,0.0037027589580165277,0.9999997725587386,-6.353343768661192e-05,-0.00022685611184640993,0.0006319669910781829
95,0.0014639671408945287,7.94195648898266e-05,0.0036545404976076057,0.9999997886397061,-5.456022780522204e-05,-0.0002283100304157941,0.0006063153096889063
96,0.001522455597268324,6.882303214847396e-05,0.0036027585485225444,0.9999998046262331,-4.179824629987327e-06,-0.00027461902906724414,0.0005615286402169252
97,0.0016030242715431853,5.843664756083333e-05,0.0035418539761853385,0.9999998251883423,5.805268547330302e-05,-0.0002855976916766936,0.0005144775302735473
98,0.0017289505248871961,5.220402349553899e-05,0.003666293736564352,0.9999998253221215,8.046924839838304e-05,-0.00025892356771419666,0.0005252037820690232
99,0.0018140880534323056,5.640589201635904e-05,0.003632778338273246,0.9999998318110346,5.8599914987956224e-05,-0.00018805826981261545,0.0005455071400430464
100,0.0018645137710823212,6.344872718744288e-05,0.0036077112455144,0.9999998277492272,2.225636349499541e-05,-0.00015723288871096145,0.000565052200072907
101,0.0018830835494115794,7.180990384433872e-05,0.003586991373515147,0.9999998164348867,-5.171230579740426e-06,-0.00016694600600709473,0.0005824366767287394
102,0.0018877987667620388,7.913814912269279e-05,0.003561840357989121,0.9999997990109727,-2.993404633669179e-05,-0.0001431845159440771,0.0006169117938352835
103,0.0018559628924647575,8.381677228561091e-05,0.0035394609018142287,0.999999774270052,-5.668447336599784e-05,-0.00010120577536867231,0.0006618187866801881
104,0.0017733935190983319,8.370039084135139e-05,0.003527742224809005,0.999999769808987,-7.029925715261611e-05,-7.351313636906624e-05,0.0006708470811997839
105,0.0016552313246552264,7.859583759761701e-05,0.0035219655399902905,0.9999997844271173,-4.096392139577035e-05,-0.00012617852009346071,0.000643075934151202
106,0.001538673061155682,7.169749605745457e-05,0.0035080818997828,0.9999998069944526,1.1805139898773785e-05,-0.00017767241303540325,0.0005952345838619831
107,0.0014385174487906438,6.655729129578791e-05,0.0034801220047415704,0.9999998148156725,4.7093271196146416e-05,-0.00019848537704461619,0.0005733710837805213
108,0.0013808732014701786,6.582251120368365e-05,0.003641690542123488,0.9999998437194978,3.0187958993249165e-05,-0.0001670392203371716,0.0005326796091805363
