#timestamp,ones,zeros,zeros,zeros,ones,zeros,zeros,zeros,ones,ones,zeros,zeros,zeros,ones,zeros,zeros,zeros,ones,ones,zeros,zeros,zeros,ones,zeros,zeros,zeros,ones, b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1403715274302142976,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274307142912,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274312143104,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274317143040,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274322142976,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274327142912,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274332143104,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274337143040,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274342142976,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274347142912,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274352143104,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274357143040,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274362142976,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274367142912,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274372143104,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274377142784,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274382142976,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274387142912,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274392143104,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274397142784,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274402142976,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274407143168,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274412143104,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274417143040,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274422142976,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274427143168,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274432142848,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274437143040,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274442142976,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274447143168,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274452142848,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274457143040,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274462142976,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274467143168,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274472142848,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274477143040,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274482142976,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274487142912,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274492142848,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274497143040,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274502142976,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274507142912,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274512142848,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274517143040,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274522142976,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274527142912,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274532143104,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1403715274537143040,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
